Athlete,Age,Country,Year,Date,Sport,Gold,Silver,Bronze
Sonja Lehmann,24,Germany,2004,29/08/2004,Hockey,1,0,0
Brent Livermore,28,Australia,2004,29/08/2004,Hockey,1,0,0
Jesse Mahieu,26,Netherlands,2004,29/08/2004,Hockey,0,1,0
Mechi Margalot,29,Argentina,2004,29/08/2004,Hockey,0,0,1
Michael McCann,26,Australia,2004,29/08/2004,Hockey,1,0,0
Björn Michel,29,Germany,2004,29/08/2004,Hockey,0,0,1
Fátima Moreira de Melo,26,Netherlands,2004,29/08/2004,Hockey,0,1,0
Stephen Mowlam,27,Australia,2004,29/08/2004,Hockey,1,0,0
Eefke Mulder,26,Netherlands,2004,29/08/2004,Hockey,0,1,0
Silke Müller,25,Germany,2004,29/08/2004,Hockey,1,0,0
Vanina Oneto,31,Argentina,2004,29/08/2004,Hockey,0,0,1
Rob Reckers,22,Netherlands,2004,29/08/2004,Hockey,0,1,0
Sascha Reinelt,31,Germany,2004,29/08/2004,Hockey,0,0,1
Fanny Rinne,24,Germany,2004,29/08/2004,Hockey,1,0,0
Marion Rodewald,27,Germany,2004,29/08/2004,Hockey,1,0,0
Ceci Rognoni,27,Argentina,2004,29/08/2004,Hockey,0,0,1
Mariné Russo,24,Argentina,2004,29/08/2004,Hockey,0,0,1
Justus Scharowsky,24,Germany,2004,29/08/2004,Hockey,0,0,1
Maartje Scheepstra,24,Netherlands,2004,29/08/2004,Hockey,0,1,0
Janneke Schopman,27,Netherlands,2004,29/08/2004,Hockey,0,1,0
Grant Schubert,24,Australia,2004,29/08/2004,Hockey,1,0,0
Christian Schulte,28,Germany,2004,29/08/2004,Hockey,0,0,1
Clarinda Sinnige,31,Netherlands,2004,29/08/2004,Hockey,0,1,0
Minke Smabers,25,Netherlands,2004,29/08/2004,Hockey,0,1,0
Jiske Snoeks,26,Netherlands,2004,29/08/2004,Hockey,0,1,0
Ayelén Stepnik,28,Argentina,2004,29/08/2004,Hockey,0,0,1
Taeke Taekema,24,Netherlands,2004,29/08/2004,Hockey,0,1,0
Macha van der Vaart,32,Netherlands,2004,29/08/2004,Hockey,0,1,0
Sander van der Weide,28,Netherlands,2004,29/08/2004,Hockey,0,1,0
Miek van Geenhuizen,22,Netherlands,2004,29/08/2004,Hockey,0,1,0
Lieve van Kessel,26,Netherlands,2004,29/08/2004,Hockey,0,1,0
Klaas Veering,22,Netherlands,2004,29/08/2004,Hockey,0,1,0
Guus Vogels,29,Netherlands,2004,29/08/2004,Hockey,0,1,0
Paola Vukojicic,29,Argentina,2004,29/08/2004,Hockey,0,0,1
Louisa Walter,25,Germany,2004,29/08/2004,Hockey,1,0,0
Tibor Weißenborn,23,Germany,2004,29/08/2004,Hockey,0,0,1
Matt Wells,26,Australia,2004,29/08/2004,Hockey,1,0,0
Timo Weß,22,Germany,2004,29/08/2004,Hockey,0,0,1
Matthias Witthaus,22,Germany,2004,29/08/2004,Hockey,0,0,1
Christopher Zeller,19,Germany,2004,29/08/2004,Hockey,0,0,1
Julia Zwehl,28,Germany,2004,29/08/2004,Hockey,1,0,0
Magdalena Aicega,26,Argentina,2000,1/10/00,Hockey,0,1,0
Katie Allen,26,Australia,2000,1/10/00,Hockey,1,0,0
Alyson Annan,27,Australia,2000,1/10/00,Hockey,1,0,0
Mariela Antoniska,25,Argentina,2000,1/10/00,Hockey,0,1,0
Inés Arrondo,22,Argentina,2000,1/10/00,Hockey,0,1,0
Lucha Aymar,23,Argentina,2000,1/10/00,Hockey,0,1,0
Minke Booij,23,Netherlands,2000,1/10/00,Hockey,0,0,1
Ageeth Boomgaardt,27,Netherlands,2000,1/10/00,Hockey,0,0,1
Michael Brennan,24,Australia,2000,1/10/00,Hockey,0,0,1
Jacques Brinkman,34,Netherlands,2000,1/10/00,Hockey,1,0,0
Jaap-Derk Buma,28,Netherlands,2000,1/10/00,Hockey,1,0,0
Adam Commens,24,Australia,2000,1/10/00,Hockey,0,0,1
Stephen Davies,31,Australia,2000,1/10/00,Hockey,0,0,1
Teun de Nooijer,24,Netherlands,2000,1/10/00,Hockey,1,0,0
Julie Deiters,25,Netherlands,2000,1/10/00,Hockey,0,0,1
Jeroen Delmeé,27,Netherlands,2000,1/10/00,Hockey,1,0,0
Damon Diletti,29,Australia,2000,1/10/00,Hockey,0,0,1
Mijntje Donners,26,Netherlands,2000,1/10/00,Hockey,0,0,1
Lachlan Dreher,33,Australia,2000,1/10/00,Hockey,0,0,1
Jason Duff,27,Australia,2000,1/10/00,Hockey,0,0,1
Marten Eikelboom,26,Netherlands,2000,1/10/00,Hockey,1,0,0
Troy Elder,22,Australia,2000,1/10/00,Hockey,0,0,1
Jimmy Elmer,29,Australia,2000,1/10/00,Hockey,0,0,1
Renita Farrell-Garard,28,Australia,2000,1/10/00,Hockey,1,0,0
María Paz Ferrari,27,Argentina,2000,1/10/00,Hockey,0,1,0
Anabel Gambero,28,Argentina,2000,1/10/00,Hockey,0,1,0
Gang Geon-Uk,29,South Korea,2000,1/10/00,Hockey,0,1,0
Sole García,19,Argentina,2000,1/10/00,Hockey,0,1,0
Paul Gaudoin,25,Australia,2000,1/10/00,Hockey,0,0,1
Piet-Hein Geeris,28,Netherlands,2000,1/10/00,Hockey,1,0,0
Han Hyeong-Bae,24,South Korea,2000,1/10/00,Hockey,0,1,0
Juliet Haslam,31,Australia,2000,1/10/00,Hockey,1,0,0
Rechelle Hawkes,33,Australia,2000,1/10/00,Hockey,1,0,0
Maripi Hernández,23,Argentina,2000,1/10/00,Hockey,0,1,0
Stephen Holt,26,Australia,2000,1/10/00,Hockey,0,0,1
Nikki Hudson,24,Australia,2000,1/10/00,Hockey,1,0,0
Hwang Jong-Hyeon,25,South Korea,2000,1/10/00,Hockey,0,1,0
Im Jeong-U,22,South Korea,2000,1/10/00,Hockey,0,1,0
Im Jong-Cheon,22,South Korea,2000,1/10/00,Hockey,0,1,0
Rachel Imison,21,Australia,2000,1/10/00,Hockey,1,0,0
Ronald Jansen,36,Netherlands,2000,1/10/00,Hockey,1,0,0
Erik Jazet,29,Netherlands,2000,1/10/00,Hockey,1,0,0
Jeon Jong-Gwon,21,South Korea,2000,1/10/00,Hockey,0,1,0
Jeon Jong-Ha,27,South Korea,2000,1/10/00,Hockey,0,1,0
Ji Seong-Hwan,26,South Korea,2000,1/10/00,Hockey,0,1,0
Kim Cheong-Hwan,29,South Korea,2000,1/10/00,Hockey,0,1,0
Kim Gyeong-Seok,28,South Korea,2000,1/10/00,Hockey,0,1,0
Kim Jeong-Cheol,23,South Korea,2000,1/10/00,Hockey,0,1,0
Kim Yong-Bae,26,South Korea,2000,1/10/00,Hockey,0,1,0
Kim Yun,26,South Korea,2000,1/10/00,Hockey,0,1,0
Brent Livermore,24,Australia,2000,1/10/00,Hockey,0,0,1
Bram Lomans,25,Netherlands,2000,1/10/00,Hockey,1,0,0
Clover Maitland,28,Australia,2000,1/10/00,Hockey,1,0,0
Laura Maiztegui,21,Argentina,2000,1/10/00,Hockey,0,1,0
Mechi Margalot,25,Argentina,2000,1/10/00,Hockey,0,1,0
Karina Masotta,29,Argentina,2000,1/10/00,Hockey,0,1,0
Claire Mitchell-Taverner,30,Australia,2000,1/10/00,Hockey,1,0,0
Fátima Moreira de Melo,22,Netherlands,2000,1/10/00,Hockey,0,0,1
Jenny Morris,27,Australia,2000,1/10/00,Hockey,1,0,0
Vanina Oneto,27,Argentina,2000,1/10/00,Hockey,0,1,0
Alison Peek,30,Australia,2000,1/10/00,Hockey,1,0,0
Triny Powell,28,Australia,2000,1/10/00,Hockey,1,0,0
Lisa Powell-Carruthers,30,Australia,2000,1/10/00,Hockey,1,0,0
Jorgelina Rimoldi,28,Argentina,2000,1/10/00,Hockey,0,1,0
Ceci Rognoni,23,Argentina,2000,1/10/00,Hockey,0,1,0
Seo Jong-Ho,20,South Korea,2000,1/10/00,Hockey,0,1,0
Clarinda Sinnige,27,Netherlands,2000,1/10/00,Hockey,0,0,1
Angie Skirving-Lambert,19,Australia,2000,1/10/00,Hockey,1,0,0
Hanneke Smabers,26,Netherlands,2000,1/10/00,Hockey,0,0,1
Minke Smabers,21,Netherlands,2000,1/10/00,Hockey,0,0,1
Song Seong-Tae,28,South Korea,2000,1/10/00,Hockey,0,1,0
Daniel Sproule,26,Australia,2000,1/10/00,Hockey,0,0,1
Jay Stacy,32,Australia,2000,1/10/00,Hockey,0,0,1
Kate Starre,28,Australia,2000,1/10/00,Hockey,1,0,0
Ayelén Stepnik,24,Argentina,2000,1/10/00,Hockey,0,1,0
Margje Teeuwen,26,Netherlands,2000,1/10/00,Hockey,0,0,1
Carole Thate,28,Netherlands,2000,1/10/00,Hockey,0,0,1
Daphne Touw,30,Netherlands,2000,1/10/00,Hockey,0,0,1
Julie Towers,23,Australia,2000,1/10/00,Hockey,1,0,0
Fleur van de Kieft,26,Netherlands,2000,1/10/00,Hockey,0,0,1
Dillianne van den Boogaard,26,Netherlands,2000,1/10/00,Hockey,0,0,1
Macha van der Vaart,28,Netherlands,2000,1/10/00,Hockey,0,0,1
Sander van der Weide,24,Netherlands,2000,1/10/00,Hockey,1,0,0
Suzan van der Wielen,28,Netherlands,2000,1/10/00,Hockey,0,0,1
Wouter van Pelt,32,Netherlands,2000,1/10/00,Hockey,1,0,0
Diederik van Weel,26,Netherlands,2000,1/10/00,Hockey,1,0,0
Remco van Wijk,27,Netherlands,2000,1/10/00,Hockey,1,0,0
Stephan Veen,30,Netherlands,2000,1/10/00,Hockey,1,0,0
Myrna Veenstra,25,Netherlands,2000,1/10/00,Hockey,0,0,1
Craig Victory,20,Australia,2000,1/10/00,Hockey,0,0,1
Guus Vogels,25,Netherlands,2000,1/10/00,Hockey,1,0,0
Paola Vukojicic,26,Argentina,2000,1/10/00,Hockey,0,1,0
Matt Wells,22,Australia,2000,1/10/00,Hockey,0,0,1
Peter Wind,27,Netherlands,2000,1/10/00,Hockey,1,0,0
Yeo Wun-Gon,26,South Korea,2000,1/10/00,Hockey,0,1,0
Michael York,32,Australia,2000,1/10/00,Hockey,0,0,1
Luc Abalo,27,France,2012,12/8/12,Handball,1,0,0
William Accambray,24,France,2012,12/8/12,Handball,1,0,0
Macarena Aguilar,27,Spain,2012,12/8/12,Handball,0,0,1
Nely Alberto,29,Spain,2012,12/8/12,Handball,0,0,1
Mirko Alilovic,26,Croatia,2012,12/8/12,Handball,0,0,1
Jessica Alonso,28,Spain,2012,12/8/12,Handball,0,0,1
Ida Alstad,27,Norway,2012,12/8/12,Handball,1,0,0
Vanessa Amorós,29,Spain,2012,12/8/12,Handball,0,0,1
Kim Andersson,29,Sweden,2012,12/8/12,Handball,0,1,0
Mattias Andersson,34,Sweden,2012,12/8/12,Handball,0,1,0
Ivano Balic,33,Croatia,2012,12/8/12,Handball,0,0,1
Xavier Barachet,23,France,2012,12/8/12,Handball,1,0,0
Sonja Barjaktarovic,25,Montenegro,2012,12/8/12,Handball,0,1,0
Andrea Barno,32,Spain,2012,12/8/12,Handball,0,0,1
Damir Bicanic,27,Croatia,2012,12/8/12,Handball,0,0,1
Karoline Dyhre Breivang,32,Norway,2012,12/8/12,Handball,1,0,0
Andela Bulatovic,25,Montenegro,2012,12/8/12,Handball,0,1,0
Katarina Bulatovic,27,Montenegro,2012,12/8/12,Handball,0,1,0
Denis Buntic,29,Croatia,2012,12/8/12,Handball,0,0,1
Mihaela Ciobanu,39,Spain,2012,12/8/12,Handball,0,0,1
Verónica Cuadrado,33,Spain,2012,12/8/12,Handball,0,0,1
Ivan Cupic,26,Croatia,2012,12/8/12,Handball,0,0,1
Didier Dinart,35,France,2012,12/8/12,Handball,1,0,0
Dalibor Doder,33,Sweden,2012,12/8/12,Handball,0,1,0
Domagoj Duvnjak,24,Croatia,2012,12/8/12,Handball,0,0,1
Niclas Ekberg,23,Sweden,2012,12/8/12,Handball,0,1,0
Kim Ekdahl du Rietz,23,Sweden,2012,12/8/12,Handball,0,1,0
Patricia Elorza,28,Spain,2012,12/8/12,Handball,0,0,1
Beatriz Fernández,27,Spain,2012,12/8/12,Handball,0,0,1
Begoña Fernández,32,Spain,2012,12/8/12,Handball,0,0,1
Jérôme Fernandez,35,France,2012,12/8/12,Handball,1,0,0
Marit Malm Frafjord,26,Norway,2012,12/8/12,Handball,1,0,0
Bertrand Gille,34,France,2012,12/8/12,Handball,1,0,0
Guillaume Gille,36,France,2012,12/8/12,Handball,1,0,0
Jakov Gojun,26,Croatia,2012,12/8/12,Handball,0,0,1
Kari Aalvik Grimsbø,27,Norway,2012,12/8/12,Handball,1,0,0
Michaël Guigou,30,France,2012,12/8/12,Handball,1,0,0
Mattias Gustafsson,34,Sweden,2012,12/8/12,Handball,0,1,0
Katrine Lunde Haraldsen,32,Norway,2012,12/8/12,Handball,1,0,0
Camilla Herrem,25,Norway,2012,12/8/12,Handball,1,0,0
Samuel Honrubia,26,France,2012,12/8/12,Handball,1,0,0
Zlatko Horvat,27,Croatia,2012,12/8/12,Handball,0,0,1
Johan Jakobsson,25,Sweden,2012,12/8/12,Handball,0,1,0
Magnus Jernemyr,36,Sweden,2012,12/8/12,Handball,0,1,0
Kari Mette Johansen,33,Norway,2012,12/8/12,Handball,1,0,0
Guillaume Joli,27,France,2012,12/8/12,Handball,1,0,0
Marija Jovanovic,26,Montenegro,2012,12/8/12,Handball,0,1,0
Jonas Källman,31,Sweden,2012,12/8/12,Handball,0,1,0
Nikola Karabatic,28,France,2012,12/8/12,Handball,1,0,0
Daouda Karaboué,36,France,2012,12/8/12,Handball,1,0,0
Tobias Karlsson,31,Sweden,2012,12/8/12,Handball,0,1,0
Milena Kneževic,22,Montenegro,2012,12/8/12,Handball,0,1,0
Marko Kopljar,26,Croatia,2012,12/8/12,Handball,0,0,1
Amanda Kurtovic,21,Norway,2012,12/8/12,Handball,1,0,0
Blaženko Lackovic,31,Croatia,2012,12/8/12,Handball,0,0,1
Jonas Larholm,30,Sweden,2012,12/8/12,Handball,0,1,0
Suzana Lazovic,20,Montenegro,2012,12/8/12,Handball,0,1,0
Marta López,22,Spain,2012,12/8/12,Handball,0,0,1
Venio Losert,36,Croatia,2012,12/8/12,Handball,0,0,1
Kristine Lunde-Borgersen,32,Norway,2012,12/8/12,Handball,1,0,0
Heidi Løke,29,Norway,2012,12/8/12,Handball,1,0,0
Marta Mangué,29,Spain,2012,12/8/12,Handball,0,0,1
Carmen Martín,24,Spain,2012,12/8/12,Handball,0,0,1
Majda Mehmedovic,22,Montenegro,2012,12/8/12,Handball,0,1,0
Radmila Miljanic,24,Montenegro,2012,12/8/12,Handball,0,1,0
Daniel Narcisse,32,France,2012,12/8/12,Handball,1,0,0
Silvia Navarro,33,Spain,2012,12/8/12,Handball,0,0,1
Andreas Nilsson,22,Sweden,2012,12/8/12,Handball,0,1,0
Ivan Nincevic,30,Croatia,2012,12/8/12,Handball,0,0,1
Tonje Nøstvold,27,Norway,2012,12/8/12,Handball,1,0,0
Thierry Omeyer,35,France,2012,12/8/12,Handball,1,0,0
Fredrik Petersen,28,Sweden,2012,12/8/12,Handball,0,1,0
Eli Pinedo,31,Spain,2012,12/8/12,Handball,0,0,1
Bojana Popovic,32,Montenegro,2012,12/8/12,Handball,0,1,0
Jova Radicevic,25,Montenegro,2012,12/8/12,Handball,0,1,0
Ana Radovic,25,Montenegro,2012,12/8/12,Handball,0,1,0
Linn-Kristin Riegelhuth Koren,27,Norway,2012,12/8/12,Handball,1,0,0
Maja Savic,36,Montenegro,2012,12/8/12,Handball,0,1,0
Johan Sjöstrand,25,Sweden,2012,12/8/12,Handball,0,1,0
Gøril Snorroeggen,27,Norway,2012,12/8/12,Handball,1,0,0
Cédric Sorhaindo,28,France,2012,12/8/12,Handball,1,0,0
Manuel Štrlek,23,Croatia,2012,12/8/12,Handball,0,0,1
Linn Jørum Sulland,28,Norway,2012,12/8/12,Handball,1,0,0
Igor Vori,31,Croatia,2012,12/8/12,Handball,0,0,1
Marina Vukcevic,18,Montenegro,2012,12/8/12,Handball,0,1,0
Drago Vukovic,28,Croatia,2012,12/8/12,Handball,0,0,1
Ana Ðokic,33,Montenegro,2012,12/8/12,Handball,0,1,0
Ragnhild Aamodt,27,Norway,2008,24/08/2008,Handball,1,0,0
Luc Abalo,23,France,2008,24/08/2008,Handball,1,0,0
Joël Abati,37,France,2008,24/08/2008,Handball,1,0,0
An Jeong-Hwa,27,South Korea,2008,24/08/2008,Handball,0,0,1
Yekaterina Andryushina,22,Russia,2008,24/08/2008,Handball,0,1,0
Sturla Ásgeirsson,28,Iceland,2008,24/08/2008,Handball,0,1,0
Arnór Atlason,24,Iceland,2008,24/08/2008,Handball,0,1,0
Bae Min-Hee,20,South Korea,2008,24/08/2008,Handball,0,0,1
David Barrufet,38,Spain,2008,24/08/2008,Handball,0,0,1
Jon Belaustegui,29,Spain,2008,24/08/2008,Handball,0,0,1
Inna Bliznova,21,Russia,2008,24/08/2008,Handball,0,1,0
Karoline Dyhre Breivang,28,Norway,2008,24/08/2008,Handball,1,0,0
Cédric Burdet,33,France,2008,24/08/2008,Handball,1,0,0
Choi Im-Jeong,27,South Korea,2008,24/08/2008,Handball,0,0,1
David Davis,31,Spain,2008,24/08/2008,Handball,0,0,1
Didier Dinart,31,France,2008,24/08/2008,Handball,1,0,0
Yelena Dmitriyeva,25,Russia,2008,24/08/2008,Handball,0,1,0
Alberto Entrerríos,31,Spain,2008,24/08/2008,Handball,0,0,1
Raúl Entrerríos,27,Spain,2008,24/08/2008,Handball,0,0,1
Jérôme Fernandez,31,France,2008,24/08/2008,Handball,1,0,0
Marit Malm Frafjord,22,Norway,2008,24/08/2008,Handball,1,0,0
Rubén Garabaya,29,Spain,2008,24/08/2008,Handball,0,0,1
Juan García,30,Spain,2008,24/08/2008,Handball,0,0,1
Logi Geirsson,25,Iceland,2008,24/08/2008,Handball,0,1,0
Bertrand Gille,30,France,2008,24/08/2008,Handball,1,0,0
Guillaume Gille,32,France,2008,24/08/2008,Handball,1,0,0
Olivier Girault,35,France,2008,24/08/2008,Handball,1,0,0
Kari Aalvik Grimsbø,23,Norway,2008,24/08/2008,Handball,1,0,0
Michaël Guigou,26,France,2008,24/08/2008,Handball,1,0,0
Róbert Gunnarsson,28,Iceland,2008,24/08/2008,Handball,0,1,0
Björgvin Gustavsson,23,Iceland,2008,24/08/2008,Handball,0,1,0
Snorri Guðjónsson,26,Iceland,2008,24/08/2008,Handball,0,1,0
Hreiðar Guðmundsson,27,Iceland,2008,24/08/2008,Handball,0,1,0
Ásgeir Örn Hallgrímsson,24,Iceland,2008,24/08/2008,Handball,0,1,0
Gro Hammerseng,28,Norway,2008,24/08/2008,Handball,1,0,0
Katrine Lunde Haraldsen,28,Norway,2008,24/08/2008,Handball,1,0,0
Heo Sun-Yeong,32,South Korea,2008,24/08/2008,Handball,0,0,1
José Javier Hombrados,36,Spain,2008,24/08/2008,Handball,0,0,1
Hong Jeong-Ho,34,South Korea,2008,24/08/2008,Handball,0,0,1
Ingimundur Ingimundarson,28,Iceland,2008,24/08/2008,Handball,0,1,0
Sverre Jakobsson,31,Iceland,2008,24/08/2008,Handball,0,1,0
Kari Mette Johansen,29,Norway,2008,24/08/2008,Handball,1,0,0
Nikola Karabatic,24,France,2008,24/08/2008,Handball,1,0,0
Daouda Karaboué,32,France,2008,24/08/2008,Handball,1,0,0
Anna Kareyeva,31,Russia,2008,24/08/2008,Handball,0,1,0
Christophe Kempé,33,France,2008,24/08/2008,Handball,1,0,0
Kim Cha-Yeon,27,South Korea,2008,24/08/2008,Handball,0,0,1
Kim Nam-Sun,27,South Korea,2008,24/08/2008,Handball,0,0,1
Kim On-A,19,South Korea,2008,24/08/2008,Handball,0,0,1
Tonje Larsen,33,Norway,2008,24/08/2008,Handball,1,0,0
Lee Min-Hui,28,South Korea,2008,24/08/2008,Handball,0,0,1
Demetrio Lozano,32,Spain,2008,24/08/2008,Handball,0,0,1
Kristine Lunde-Borgersen,28,Norway,2008,24/08/2008,Handball,1,0,0
Cristian Malmagro,25,Spain,2008,24/08/2008,Handball,0,0,1
Yekaterina Marennikova,26,Russia,2008,24/08/2008,Handball,0,1,0
Mun Pil-Hui,25,South Korea,2008,24/08/2008,Handball,0,0,1
Daniel Narcisse,28,France,2008,24/08/2008,Handball,1,0,0
Katja Nyberg,28,Norway,2008,24/08/2008,Handball,1,0,0
Tonje Nøstvold,23,Norway,2008,24/08/2008,Handball,1,0,0
Oh Seong-Ok,35,South Korea,2008,24/08/2008,Handball,0,0,1
Oh Yeong-Ran,35,South Korea,2008,24/08/2008,Handball,0,0,1
Thierry Omeyer,31,France,2008,24/08/2008,Handball,1,0,0
Park Jeong-Hui,33,South Korea,2008,24/08/2008,Handball,0,0,1
Cédric Paty,27,France,2008,24/08/2008,Handball,1,0,0
Alexander Petersson,28,Iceland,2008,24/08/2008,Handball,0,1,0
Irina Poltoratskaya,29,Russia,2008,24/08/2008,Handball,0,1,0
Yelena Polyonova,24,Russia,2008,24/08/2008,Handball,0,1,0
Lyudmila Postnova,23,Russia,2008,24/08/2008,Handball,0,1,0
Carlos Prieto,28,Spain,2008,24/08/2008,Handball,0,0,1
Linn-Kristin Riegelhuth Koren,24,Norway,2008,24/08/2008,Handball,1,0,0
Albert Rocas,26,Spain,2008,24/08/2008,Handball,0,0,1
Oksana Romenskaya,32,Russia,2008,24/08/2008,Handball,0,1,0
Iker Romero,28,Spain,2008,24/08/2008,Handball,0,0,1
Nataliya Shipilova,28,Russia,2008,24/08/2008,Handball,0,1,0
Mariya Sidorova,28,Russia,2008,24/08/2008,Handball,0,1,0
Guðjón Valur Sigurðsson,29,Iceland,2008,24/08/2008,Handball,0,1,0
Sigfús Sigurðsson,33,Iceland,2008,24/08/2008,Handball,0,1,0
Gøril Snorroeggen,23,Norway,2008,24/08/2008,Handball,1,0,0
Song Hai-Rim,23,South Korea,2008,24/08/2008,Handball,0,0,1
Ólafur Stefánsson,35,Iceland,2008,24/08/2008,Handball,0,1,0
Inna Suslina,29,Russia,2008,24/08/2008,Handball,0,1,0
Else-Marthe Sørlie Lybekk,29,Norway,2008,24/08/2008,Handball,1,0,0
Víctor Tomás,23,Spain,2008,24/08/2008,Handball,0,0,1
Emiliya Turey,23,Russia,2008,24/08/2008,Handball,0,1,0
Yana Uskova,22,Russia,2008,24/08/2008,Handball,0,1,0
Kristine Andersen,28,Denmark,2004,29/08/2004,Handball,1,0,0
Ivano Balic,25,Croatia,2004,29/08/2004,Handball,1,0,0
Markus Baur,33,Germany,2004,29/08/2004,Handball,0,1,0
Anastasiya Borodina,22,Ukraine,2004,29/08/2004,Handball,0,0,1
Nataliya Borysenko,28,Ukraine,2004,29/08/2004,Handball,0,0,1
Karen Brødsgaard,26,Denmark,2004,29/08/2004,Handball,1,0,0
Hanna Burmistrova,27,Ukraine,2004,29/08/2004,Handball,0,0,1
Mikhail Chipurin,23,Russia,2004,29/08/2004,Handball,0,0,1
Choi Im-Jeong,23,South Korea,2004,29/08/2004,Handball,0,1,0
Line Daugaard,26,Denmark,2004,29/08/2004,Handball,1,0,0
Davor Dominikovic,26,Croatia,2004,29/08/2004,Handball,1,0,0
Mark Dragunski,33,Germany,2004,29/08/2004,Handball,0,1,0
Mirza Džomba,27,Croatia,2004,29/08/2004,Handball,1,0,0
Henning Fritz,29,Germany,2004,29/08/2004,Handball,0,1,0
Katrine Fruelund,26,Denmark,2004,29/08/2004,Handball,1,0,0
Slavko Goluža,32,Croatia,2004,29/08/2004,Handball,1,0,0
Aleksandr Gorbatikov,22,Russia,2004,29/08/2004,Handball,0,0,1
Vyacheslav Gorpishin,34,Russia,2004,29/08/2004,Handball,0,0,1
Pascal Hens,24,Germany,2004,29/08/2004,Handball,0,1,0
Heo Sun-Yeong,28,South Korea,2004,29/08/2004,Handball,0,1,0
Heo Yeong-Suk,29,South Korea,2004,29/08/2004,Handball,0,1,0
Iryna Honcharova,29,Ukraine,2004,29/08/2004,Handball,0,0,1
Rikke Hørlykke,28,Denmark,2004,29/08/2004,Handball,1,0,0
Im O-Gyeong,32,South Korea,2004,29/08/2004,Handball,0,1,0
Jan-Olaf Immel,28,Germany,2004,29/08/2004,Handball,0,1,0
Vitaly Ivanov,28,Russia,2004,29/08/2004,Handball,0,0,1
Jang So-Hui,26,South Korea,2004,29/08/2004,Handball,0,1,0
Torsten Jansen,27,Germany,2004,29/08/2004,Handball,0,1,0
Trine Jensen,23,Denmark,2004,29/08/2004,Handball,1,0,0
Nikša Kaleb,31,Croatia,2004,29/08/2004,Handball,1,0,0
Florian Kehrmann,27,Germany,2004,29/08/2004,Handball,0,1,0
Kim Cha-Yeon,23,South Korea,2004,29/08/2004,Handball,0,1,0
Kim Hyeon-Ok,30,South Korea,2004,29/08/2004,Handball,0,1,0
Lotte Kiærskou,29,Denmark,2004,29/08/2004,Handball,1,0,0
Eduard Koksharov,28,Russia,2004,29/08/2004,Handball,0,0,1
Aleksey Kostygov,31,Russia,2004,29/08/2004,Handball,0,0,1
Stefan Kretzschmar,31,Germany,2004,29/08/2004,Handball,0,1,0
Denis Krivoshlykov,33,Russia,2004,29/08/2004,Handball,0,0,1
Vasily Kudinov,35,Russia,2004,29/08/2004,Handball,0,0,1
Oleg Kuleshov,30,Russia,2004,29/08/2004,Handball,0,0,1
Blaženko Lackovic,23,Croatia,2004,29/08/2004,Handball,1,0,0
Andrey Lavrov,42,Russia,2004,29/08/2004,Handball,0,0,1
Lee Gong-Ju,24,South Korea,2004,29/08/2004,Handball,0,1,0
Lee Sang-Eun,29,South Korea,2004,29/08/2004,Handball,0,1,0
Nataliya Liapina,28,Ukraine,2004,29/08/2004,Handball,0,0,1
Venio Losert,28,Croatia,2004,29/08/2004,Handball,1,0,0
Halyna Markushevska,28,Ukraine,2004,29/08/2004,Handball,0,0,1
Valter Matoševic,34,Croatia,2004,29/08/2004,Handball,1,0,0
Petar Metlicic,27,Croatia,2004,29/08/2004,Handball,1,0,0
Henriette Mikkelsen,23,Denmark,2004,29/08/2004,Handball,1,0,0
Karin Mortensen,26,Denmark,2004,29/08/2004,Handball,1,0,0
Mun Gyeong-Ha,24,South Korea,2004,29/08/2004,Handball,0,1,0
Mun Pil-Hui,21,South Korea,2004,29/08/2004,Handball,0,1,0
Myeom Bok-Hui,25,South Korea,2004,29/08/2004,Handball,0,1,0
Louise Bager Nørgaard,22,Denmark,2004,29/08/2004,Handball,1,0,0
Oh Seong-Ok,31,South Korea,2004,29/08/2004,Handball,0,1,0
Oh Yeong-Ran,31,South Korea,2004,29/08/2004,Handball,0,1,0
Klaus-Dieter Petersen,35,Germany,2004,29/08/2004,Handball,0,1,0
Rikke Petersen-Schmidt,29,Denmark,2004,29/08/2004,Handball,1,0,0
Sergey Pogorelov,30,Russia,2004,29/08/2004,Handball,0,0,1
Olena Radchenko,31,Ukraine,2004,29/08/2004,Handball,0,0,1
Oksana Raikhel,27,Ukraine,2004,29/08/2004,Handball,0,0,1
Christian Ramota,31,Germany,2004,29/08/2004,Handball,0,1,0
Aleksey Rastvortsev,26,Russia,2004,29/08/2004,Handball,0,0,1
Christian Schwarzer,34,Germany,2004,29/08/2004,Handball,0,1,0
Liudmyla Shevchenko,34,Ukraine,2004,29/08/2004,Handball,0,0,1
Tetiana Shynkarenko,25,Ukraine,2004,29/08/2004,Handball,0,0,1
Hanna Siukalo,27,Ukraine,2004,29/08/2004,Handball,0,0,1
Rikke Skov,23,Denmark,2004,29/08/2004,Handball,1,0,0
Vlado Šola,35,Croatia,2004,29/08/2004,Handball,1,0,0
Denis Špoljaric,24,Croatia,2004,29/08/2004,Handball,1,0,0
Goran Šprem,25,Croatia,2004,29/08/2004,Handball,1,0,0
Daniel Stephan,31,Germany,2004,29/08/2004,Handball,0,1,0
